fid,district_name,origin_id,structure_no,latitude,longitude,pue
7702081,zombo,28014,1,2.61856318,30.97854744,
7702092,zombo,83132,1,2.61712118,30.97777208,
7702098,zombo,115340,1,2.61628667,30.9786635,
7702101,zombo,123612,1,2.6194046,30.97738438,
7702120,zombo,101161,6,2.6165886,30.97866078,
7702127,zombo,56659,5,2.61717848,30.97700474,
7702130,zombo,133837,4,2.61831979,30.97719252,
7702141,zombo,115557,3,2.61500614,30.9774259,
7702144,zombo,89728,2,2.61824387,30.97699485,
7702146,zombo,13769,3,2.61911259,30.97731987,
7702147,zombo,162482,3,2.61496718,30.97709897,
7702156,zombo,43741,2,2.61634896,30.9782813,
7702161,zombo,121920,2,2.61527204,30.97713735,
7702163,zombo,97843,2,2.61649738,30.97794699,
7701635,zombo,5346,1,2.58663287,30.97749748,
7701697,zombo,55340,1,2.59131545,30.97846911,
7701699,zombo,56303,1,2.59228556,30.97852488,
7701734,zombo,81105,1,2.58631364,30.97871517,
7701666,zombo,28228,1,2.5876402,30.97872937,
7701651,zombo,22888,1,2.58808106,30.97875087,
7701655,zombo,24769,1,2.58783269,30.97877401,
7701807,zombo,138575,1,2.58666663,30.97895116,
7701649,zombo,20236,1,2.58946255,30.97933196,
7701841,zombo,166516,1,2.59900192,30.97939209,
7701674,zombo,32519,1,2.5886727,30.97975353,
7701733,zombo,80922,1,2.59100992,30.97978885,
7701713,zombo,68676,1,2.59079179,30.97980718,
7701792,zombo,129748,1,2.59897351,30.98026701,
7701719,zombo,70711,1,2.5863118,30.98123243,
7701803,zombo,136368,1,2.59259249,30.98191873,
7701816,zombo,147445,1,2.59248268,30.98219525,
7701672,zombo,32093,1,2.59200229,30.98270094,
7701874,zombo,93821,6,2.59629991,30.98289798,
7701979,zombo,71769,2,2.58842707,30.97868044,
7701984,zombo,96093,2,2.59269326,30.98003364,
7701991,zombo,166322,2,2.59121767,30.98044967,
7702014,zombo,58405,2,2.58961178,30.97730667,
7702032,zombo,21251,2,2.59251967,30.97806965,
7701778,zombo,117562,1,2.60544892,30.97709352,
7701754,zombo,96586,1,2.60408587,30.97756397,
7701712,zombo,66394,1,2.60932281,30.97784977,
7701680,zombo,39728,1,2.60001281,30.97795484,
7701735,zombo,81183,1,2.60548424,30.97839552,
7701786,zombo,125192,1,2.59972398,30.97985317,
7701736,zombo,81668,1,2.60833594,30.98035502,
7701767,zombo,106632,1,2.60322501,30.98045439,
7701797,zombo,133476,1,2.60343357,30.98085753,
7701690,zombo,48847,1,2.60465781,30.9809302,
7701785,zombo,125148,1,2.60446143,30.98123503,
7701660,zombo,25750,1,2.60667494,30.98124185,
7701834,zombo,161017,1,2.60296879,30.97913434,
7701836,zombo,162211,1,2.60498042,30.98016562,
7701969,zombo,129528,3,2.60705208,30.97881353,
7702079,zombo,23832,1,2.60996345,30.97950556,
7702123,zombo,66183,5,2.61298717,30.97755813,
7702149,zombo,158927,3,2.61156836,30.98112509,
7702169,zombo,102920,2,2.61189931,30.97772678,
7690718,zombo,170763,1,2.57916974,30.97684688,
7701646,zombo,17946,1,2.5821872,30.97703882,
7701888,zombo,111682,5,2.57876353,30.97718686,
7701693,zombo,51944,1,2.58584,30.977795,
7701753,zombo,95481,1,2.58145338,30.97813421,
7701837,zombo,164395,1,2.58168798,30.97814116,
